,address,age,mail,name,sex,username,Cust_id,Probability
0,"3898 Holland Square
East Jessicaland, NH 27751",49,vsteele@yahoo.com,Melissa Noble,F,glewis,0,0.005487804
1,"758 Andrews Loaf
Michaelstad, SD 57345",52,mooreryan@hotmail.com,Joseph Torres,M,stephen36,1,0.001015701
2,"92948 Yoder Mills Apt. 027
Savannahchester, AK 97725",43,romantyler@gmail.com,Jennifer Rodriguez,F,yvonnenguyen,2,0.003486289
3,"32798 Johnston Greens
East Shannon, WY 47145",44,kevin13@gmail.com,Edward Wallace,M,todd15,3,0.001304587
4,"USNS Mitchell
FPO AE 46352",38,lrowe@gmail.com,Tammy Brown,F,sharonwatson,4,0.000155506
5,"1971 Jones Forest Suite 166
West Ryanchester, IL 32069",44,wmills@hotmail.com,Ashley Obrien,F,brownlauren,5,0.001036906
6,"612 Zimmerman Union Suite 711
Woodsville, IN 95094",45,zdavis@hotmail.com,Kayla Figueroa,F,greenadrian,6,0.000175756
7,"3033 Amanda Springs Apt. 823
Karenborough, NC 73650",55,martin80@hotmail.com,Perry Maddox,M,frostanthony,7,0.002599234
8,"416 Brian Avenue
Martinezland, MT 97253",38,chendonna@yahoo.com,Lisa Jones,F,anthonyalexander,8,5.12E-05
9,"USS Gonzales
FPO AP 52476",50,stevenramirez@yahoo.com,Tammy Sullivan,F,sbrown,9,0.000799359
10,"63412 Katherine River Apt. 191
Gallagherfort, WA 63618",49,kwood@gmail.com,Erin Poole,F,collinsbrian,10,0.005353432
11,"144 Brooke Drives
Longhaven, KS 16692",46,pwolfe@hotmail.com,Robert Page,M,cynthia66,11,0.002105163
12,"50396 Scott Point Suite 107
Port Gregoryview, MD 83579",41,deborah75@gmail.com,Ryan Thomas,M,james63,12,0.00409159
13,"462 Kathleen Ramp
Port Corey, HI 78819",51,timothysmith@hotmail.com,Andrea Matthews,F,padkins,13,0.002381898
14,"619 Daniel Rapids Apt. 552
Cunninghamland, KY 18343",50,karendaniels@hotmail.com,Kelsey Farley,F,valentinemichael,14,0.000675936
15,"45348 Michelle Roads
Michaelburgh, LA 57637",36,elizabethmiller@hotmail.com,Kyle Perry,M,rachelnelson,15,0.000613247
16,"987 Washington Plains Apt. 535
West Karenland, DC 16843",43,randy18@gmail.com,Regina Tucker,F,alicia95,16,0.000306283
17,"53561 Victoria Key
Philipland, CA 13712",43,vwashington@gmail.com,Russell Barr,M,moniqueortiz,17,0.000911669
18,"542 Fisher View Suite 889
Davidfort, AR 50630",43,mlewis@gmail.com,Brittney Horton,F,joneskurt,18,0.00028403
19,"12572 Haley Highway
North Cynthia, SD 23073",49,brownanthony@hotmail.com,Scott Washington,M,nicholaswilkins,19,0.002869397
20,"83285 Gregory Curve Apt. 681
Danielview, IN 26452",45,gonzalezlisa@hotmail.com,Carlos Walters,M,boydjoshua,20,0.000269818
21,"93316 Schmidt Divide Apt. 451
North Victor, AK 54214",51,amber18@yahoo.com,Chad Baker,M,erinarmstrong,21,0.002988276
